name,geometry,len_unit,ang_unit,rtor,rmin,rmax,length,startTheta,dTheta,startPhi,dPhi,x,y,z,rx,ry,rz
ew_mainShaft_up,tube,in,deg,0,0.471,0.505,0.394,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0
ew_lip_up,tube,in,deg,0,0.471,0.6105,0.125,0.0,0.0,0.0,360.0,0.0,0.0,0.259,0.0,0.0,0.0
ew_rlip_up,sphere,in,deg,0,0.4855,0.5455,0.0,63.1,26.9,0.0,360.0,0.0,0.0,0.300,0.0,0.0,0.0
ew_cap_up,sphere,in,deg,0,0.4855,0.4915,0.0,0.0,63.1,0.0,360.0,0.0,0.0,0.320,0.0,0.0,0.0
ew_mainShaft_dn,tube,in,deg,0,0.471,0.505,0.394,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0,0.0
ew_lip_dn,tube,in,deg,0,0.471,0.6105,0.125,0.0,0.0,0.0,360.0,0.0,0.0,0.259,0.0,0.0,0.0
ew_rlip_dn,sphere,in,deg,0,0.4855,0.5455,0.0,63.1,26.9,0.0,360.0,0.0,0.0,0.300,0.0,0.0,0.0
ew_cap_dn,sphere,in,deg,0,0.4855,0.4915,0.0,0.0,63.1,0.0,360.0,0.0,0.0,0.320,0.0,0.0,0.0
pumpingChamber,sphere,cm,deg,0.0,5.20,5.40,0.0,0.0,180.0,0.0,360.0,0.0,-33.02,0.0,0.0,0.0,0.0
targetChamber,tube,cm,deg,0,1.03,1.05,57.9,0.0,0.0,0.0,360.0,0,0,0,0,0,0
endWindow_up,sphere,cm,deg,0,0.85,1.05,0.0,0.0,90.0,0.0,360.0,0,0,-28.95,180.0,0,0
endWindow_dn,sphere,cm,deg,0,0.85,1.05,0.0,0.0,90.0,0.0,360.0,0,0,28.95,0,0,0
transTubeEl_dn,torus,cm,deg,0.9,0.25,0.45,0.0,0.0,0.0,0.0,90.0,0.0,-3.35,25.85,180.0,-90.0,0.0
transTubeEl_up,torus,cm,deg,0.9,0.25,0.45,0.0,0.0,0.0,0.0,90.0,0.0,-3.35,-25.85,180.0,90.0,0.0
transTubeElLo_dn,torus,cm,deg,0.9,0.25,0.45,0.0,0.0,0.0,0.0,90.0,0.0,-5.15,1.90,0.0,270.0,0.0
transTubeElLo_up,torus,cm,deg,0.9,0.25,0.45,0.0,0.0,0.0,0.0,90.0,0.0,-5.15,-1.90,0.0,90.0,0.0
transTubeSphere,sphere,cm,deg,0.0,1.19,1.39,0.0,0.0,180.0,0.0,360.0,0.0,-8.33,1.0,0.0,0.0,0.0
transTubeZ_up,tube,cm,deg,0,0.25,0.45,24.10,0.0,0.0,0.0,360.0,0,-4.25,-13.8,0.0,0.0,0.0
transTubeZ_dn,tube,cm,deg,0,0.25,0.45,24.10,0.0,0.0,0.0,360.0,0,-4.25,13.8,0.0,0.0,0.0
transTubeY_up,tube,cm,deg,0,0.25,0.45,22.50,0.0,0.0,0.0,360.0,0.0,-16.30,-1.0,90.0,0.0,0.0
transTubeYB_dn,tube,cm,deg,0,0.25,0.45,18.90,0.0,0.0,0.0,360.0,0,-18.60,1.0,90.0,0.0,0.0
transTubeYA_dn,tube,cm,deg,0,0.25,0.45,2.0,0.0,0.0,0.0,360.0,0,-6.10,1.0,90.0,0.0,0.0
transTubePost_dn,tube,cm,deg,0,0.25,0.45,2.3,0.0,0.0,0.0,360.0,0.0,-2.20,26.75,90.0,0,0
transTubePost_up,tube,cm,deg,0,0.25,0.45,2.3,0.0,0.0,0.0,360.0,0.0,-2.20,-26.75,90.0,0,0
helmholtz_x,tube,cm,deg,0.0,88.0,93.0,2.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,90.0,0.0
helmholtz_y,tube,cm,deg,0.0,83.0,86.0,2.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,90.0,0.0,0.0
helmholtz_z,tube,cm,deg,0.0,95.0,100.0,2.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0
